"model","sample","outcome","n","r2","adj_r2","rmse","aic","bic"
"full_levels","full","inflation_cpi",42,0.986421233732127,0.984953259000465,144.13602253537,548.734462980746,559.160480690446
"no_hyper","inflation<100","inflation_cpi",35,0.883345232356758,0.867791263337659,8.8123677637553,263.656628698941,272.988717067878
"pre_1995","1980-1994","inflation_cpi",14,0.988988452708165,0.984094431689572,210.872199616092,201.565342236306,205.399686213997
"post_1995","1995-2022","inflation_cpi",28,0.469750457106015,0.377533145298366,2.05106652785636,131.688713119298,139.681940180349
"interaction","full","inflation_cpi",42,0.988955510378893,0.986681644868665,129.991574086965,546.058286014899,561.697312579449
"log_outcome","full_nonnegative","log1p_inflation",42,0.863521201042506,0.848766736290344,0.749161346871482,106.931560997683,117.357578707383
"winsorized","full","inflation_cpi_w",42,0.980915434552201,0.978852238287574,23.6290613086497,396.838935520582,407.264953230283
