"regime","n","mean_infl","median_infl","max_infl","mean_money","mean_fx_depr"
"Hyperinflation",7,1763.09296807456,409.530166622023,7481.66361124526,1362.97931002601,192.709278957546
"Post-stabilization",28,3.96158241705311,3.3837014504008,11.5379424115177,13.4591888245936,1.99298100628299
"Pre-stabilization",8,63.5768770092615,68.9882263915285,85.8223062381846,72.726224508381,33.6267522694888
