"year","broad_money_growth","inflation_cpi","gov_cons_gdp","exrate_lcu_per_usd","tot_index","fx_depr","tot_growth","money_growth_l1","fx_depr_l1","tot_growth_l1","gov_cons_l1","post_stabilization","regime","high_infl_20","high_infl_100","infl_vol_5y","fx_vol_5y","log1p_inflation","inflation_cpi_w","fx_depr_w","broad_money_w",".fitted",".resid",".hat",".sigma",".cooksd",".std.resid","cooks_d","leverage","std_resid","dffits"
1981,68.678476250196,75.4332687576064,13.1256120391474,4.223179999985e-07,123.2293090901,37.9832887174073,-19.8418483805095,83.4891413778225,NA,NA,13.3615299026563,FALSE,"Pre-stabilization",TRUE,FALSE,NA,NA,4.33641805633198,75.4332687576064,37.9832887174073,68.678476250196,153.211620430379,-77.7783516727727,0.1276194894225,155.064830863865,0.00860319815618038,-0.542262336642313,0.00860319815618038,0.1276194894225,-0.542262336642313,-0.205398833118322
1982,71.9563197026022,64.4481585387929,13.8129329400685,6.97566749997667e-07,122.3794517793,50.1839623282869,-0.69204428995695,68.678476250196,37.9832887174073,-19.8418483805095,13.1256120391474,FALSE,"Pre-stabilization",TRUE,FALSE,NA,NA,4.18125835657115,64.4481585387929,50.1839623282869,71.9563197026022,139.045312894792,-74.5971543559992,0.101439100179614,155.131231523723,0.00592914728734955,-0.512450812313409,0.00592914728734955,0.101439100179614,-0.512450812313409,-0.170442618658842
1983,103.345493852182,111.150635209157,13.4517636112299,1.62863416666367e-06,118.1883746443,84.7898799937182,-3.4846731493217,71.9563197026022,50.1839623282869,-0.69204428995695,13.8129329400685,FALSE,"Hyperinflation",TRUE,TRUE,NA,NA,4.71984292487489,111.150635209157,84.7898799937182,103.345493852182,248.921588500933,-137.770953291776,0.134214857868455,153.716445520826,0.0288225916027933,-0.964175923739154,0.0288225916027933,0.134214857868455,-0.964175923739154,-0.379251667850891
1984,127.219328088454,110.208519562543,11.7997926413524,3.46685416666492e-06,119.7570349467,75.5505873561448,1.31852346389074,103.345493852182,84.7898799937182,-3.4846731493217,13.4517636112299,FALSE,"Hyperinflation",TRUE,TRUE,24.9872198151895,21.7512740655427,4.71140699365279,110.208519562543,75.5505873561448,127.219328088454,247.162923931947,-136.954404369404,0.0662136010162084,153.882314043214,0.0120792922553358,-0.922902696472113,0.0120792922553358,0.0662136010162084,-0.922902696472113,-0.245252450140166
1985,156.546456269228,163.399505243688,11.7228852406873,1.09749424999999e-05,104.4932242304,115.2367117213,-13.6342752108603,127.219328088454,75.5505873561448,1.31852346389074,11.7997926413524,FALSE,"Hyperinflation",TRUE,TRUE,38.7107179507279,30.3144888464863,5.10229947315093,163.399505243688,115.2367117213,156.546456269228,391.165652882527,-227.766147638839,0.139077966205857,150.212824123125,0.0825555738192875,-1.59849377100456,0.0825555738192875,0.139077966205857,-1.59849377100456,-0.656821722940287
1986,53.9779955225038,77.9210255473595,12.4309304720086,1.39475e-05,79.0367292945,23.9685560969999,-27.9209557202119,156.546456269228,115.2367117213,-13.6342752108603,11.7228852406873,FALSE,"Pre-stabilization",TRUE,FALSE,38.2500926842491,34.6679398785674,4.36844767584139,77.9210255473595,23.9685560969999,53.9779955225038,127.508961911294,-49.5879363639349,0.215073901636411,155.404970360676,0.0072798026786311,-0.364472976845504,0.0072798026786311,0.215073901636411,-0.364472976845504,-0.188528155181585
1987,106.514896225381,85.8223062381846,12.2047640228817,1.68358333333333e-05,78.6725047327,18.8209270699902,-0.461894589238376,53.9779955225038,23.9685560969999,-27.9209557202119,12.4309304720086,FALSE,"Pre-stabilization",TRUE,FALSE,33.4142457416129,41.3339067224538,4.46386357296238,85.8223062381846,18.8209270699902,106.514896225381,113.874789263478,-28.0524830252931,0.0297937033927679,155.612320810671,0.000211240064355685,-0.185456879137307,0.000211240064355685,0.0297937033927679,-0.185456879137307,-0.0320719587364509
1988,620.951252281666,667.019328585961,8.5077600860946,0.000128831666666667,85.5181710956,203.499709122763,8.34351544881899,106.514896225381,18.8209270699902,-0.461894589238376,12.2047640228817,FALSE,"Hyperinflation",TRUE,TRUE,251.629853763281,76.0280699926392,6.50431710812696,641.270412389567,200.39371793003,581.915629292484,1021.13766417907,-354.118335593104,0.336608610249292,137.793094879068,0.81342918604253,-2.83117804934638,0.81342918604253,0.336608610249292,-2.83117804934638,-2.24757265483396
1989,1917.28170515126,3398.67901005332,8.58435859444137,0.0026661875,72.9069074612,302.989818568305,-15.9545493715821,620.951252281666,203.499709122763,8.34351544881899,8.5077600860946,FALSE,"Hyperinflation",TRUE,TRUE,1429.74295171709,121.559606123454,8.13143629733961,641.270412389567,200.39371793003,581.915629292484,2658.64937888373,740.029631169592,0.349913088446009,28.9356266054035,3.84550096121873,5.97677740672945,3.84550096121873,0.349913088446009,5.97677740672945,23.2715274395995
1990,6384.91591214941,7481.66361124526,7.27374848190843,0.187885579166667,69.8428184143,425.518360672484,-4.29361210608441,1917.28170515126,302.989818568305,-15.9545493715821,8.58435859444137,FALSE,"Hyperinflation",TRUE,TRUE,3184.12719440956,176.892320994355,8.92034410534082,641.270412389567,200.39371793003,581.915629292484,7651.77622096084,-170.112609715581,0.962039695153849,55.3342263925773,163.849071995532,-5.68558746389011,163.849071995532,0.962039695153849,-5.68558746389011,-79.4345554063497
1991,230.59502238985,409.530166622023,7.61217251643866,0.7725,65.6054792766,141.379885268107,-6.25880479993075,6384.91591214941,425.518360672484,-4.29361210608441,7.27374848190843,FALSE,"Hyperinflation",TRUE,TRUE,3128.13484691678,154.951094796892,6.01744941370038,409.530166622023,141.379885268107,230.59502238985,511.602555200688,-102.072388578665,0.216313764031089,154.494114812089,0.0311210064735996,-0.750828676819563,0.0311210064735996,0.216313764031089,-0.750828676819563,-0.392099415909271
1992,88.1788916992412,73.5282942442641,7.85955799014648,1.24583333333333,71.9136984708,47.7927920258929,9.1807549711846,230.59502238985,141.379885268107,-6.25880479993075,7.61217251643866,FALSE,"Pre-stabilization",TRUE,FALSE,3130.42099826292,145.897299328087,4.31117884179772,73.5282942442641,47.7927920258929,88.1788916992412,136.742360632291,-63.2140663880267,0.140143759055317,155.269550213572,0.00642372418859657,-0.443919770938325,0.00642372418859657,0.140143759055317,-0.443919770938325,-0.17725090720106
1993,71.7970649690245,48.5799864468885,7.98563822184906,1.98831891666667,67.6307496739,46.7484866178126,-6.1404011275096,88.1788916992412,47.7927920258929,9.1807549711846,7.85955799014648,FALSE,"Pre-stabilization",TRUE,FALSE,3227.03921597062,166.809590377629,3.90358725324857,48.5799864468885,46.7484866178126,71.7970649690245,150.243822315067,-101.663835868178,0.142086525294358,154.606203345552,0.0169213988444392,-0.71474056456626,0.0169213988444392,0.142086525294358,-0.71474056456626,-0.288916625987708
1994,37.2170103202771,23.7369050565046,8.79700544740766,2.195,72.5445203657,9.88925303003164,7.01376909473357,71.7970649690245,46.7484866178126,-6.1404011275096,7.98563822184906,FALSE,"Pre-stabilization",TRUE,FALSE,3287.57266666728,169.915457649804,3.20829626037185,23.7369050565046,9.88925303003164,37.2170103202771,9.42823951858559,14.308665537919,0.101654785231256,155.664364728922,0.000218714177875344,0.0983062627850881,0.000218714177875344,0.101654785231256,0.0983062627850881,0.032623502336255
1995,29.2640068835753,11.1287029707089,9.87834994969359,2.25333333333333,75.4863908286,2.62285548596268,3.9751938677469,37.2170103202771,9.88925303003164,7.01376909473357,8.79700544740766,TRUE,"Post-stabilization",FALSE,FALSE,167.319531330896,55.2691198945297,2.49557478984466,11.1287029707089,2.62285548596268,29.2640068835753,-8.35214544953137,19.4808484202403,0.0605364705124901,155.648655993532,0.000220754895215134,0.130879488166912,0.000220754895215134,0.0605364705124901,0.130879488166912,0.0327786539379195
1996,37.2447670222151,11.5379424115177,10.3594236243234,2.45333333333333,73.0877281188,8.50370426859124,-3.22919114106064,29.2640068835753,2.62285548596268,3.9751938677469,9.87834994969359,TRUE,"Post-stabilization",FALSE,FALSE,26.9610390103244,22.2253986324917,2.52875943972572,11.5379424115177,8.50370426859124,37.2447670222151,27.1419963522059,-15.6040539406882,0.0498180212749792,155.661835505496,0.000113942342451801,-0.104240799030062,0.000113942342451801,0.0498180212749792,-0.104240799030062,-0.0235473339672239
1997,30.7820639804126,8.56218948953653,10.2385332945999,2.66416666666667,77.8238261196,8.24436692110773,6.2787157952954,37.2447670222151,8.50370426859124,-3.22919114106064,10.3594236243234,TRUE,"Post-stabilization",FALSE,FALSE,16.6537945262193,17.8529885342058,2.25781672694298,8.56218948953653,8.24436692110773,30.7820639804126,-0.774401744133517,9.33659123367005,0.0497269982741344,155.676513973538,4.07107886856322e-05,0.0623688639426356,4.07107886856322e-05,0.0497269982741344,0.0623688639426356,0.0140738519707171
1998,17.3271286102373,7.24782175213469,10.9812652995953,2.93,68.0579604308,9.5111109745225,-13.4087931223112,30.7820639804126,8.24436692110773,6.2787157952954,10.2385332945999,TRUE,"Post-stabilization",FALSE,FALSE,6.5602851343611,2.9486397023658,2.10994913544024,7.24782175213469,9.5111109745225,17.3271286102373,29.3065524957002,-22.0587307435655,0.086395768651596,155.637176319804,0.000427144353561575,-0.150281372167736,0.000427144353561575,0.086395768651596,-0.150281372167736,-0.0455989991789596
1999,14.4902175465321,3.46965996293019,11.5489906334077,3.38333333333333,63.1220330004,14.385899379071,-7.528981688366,17.3271286102373,9.5111109745225,-13.4087931223112,10.9812652995953,TRUE,"Post-stabilization",FALSE,FALSE,3.27696502594591,4.18791120603924,1.49731233479909,3.46965996293019,14.385899379071,14.4902175465321,22.736716926105,-19.2670569631749,0.0409953012307781,155.650161276324,0.000140333299696993,-0.128117571303086,0.000140333299696993,0.0409953012307781,-0.128117571303086,-0.0261343746272857
2000,-0.399441851801342,3.75733833344474,11.4506268550924,3.49,61.1897258896,3.10403193946502,-3.10905867126952,14.4902175465321,14.385899379071,-7.528981688366,11.5489906334077,TRUE,"Post-stabilization",FALSE,FALSE,3.392521011149,4.0167130003191,1.55968833820138,3.75733833344474,3.10403193946502,0.783115902289091,-25.4284831545823,29.185821488027,0.0340973232704102,155.606003855002,0.000264018739930295,0.193378826496863,0.000264018739930295,0.0340973232704102,0.193378826496863,0.0358568674768115
2001,0.563891323477896,1.97709878502053,11.7171706103755,3.50683333333333,60.8580324785,0.481170981478352,-0.543548250581338,-0.399441851801342,3.10403193946502,-3.10905867126952,11.4506268550924,TRUE,"Post-stabilization",FALSE,FALSE,2.77335253717804,5.47662651966891,1.0909492642243,1.97709878502053,0.481170981478352,0.783115902289091,-35.5611296605208,37.5382284455413,0.0309889240561107,155.554913807056,0.000394397291504854,0.248320792607211,0.000394397291504854,0.0309889240561107,0.248320792607211,0.0438393943978754
2002,4.32965353437533,0.193135003853722,11.165025870435,3.5165,65.3216722718,0.275273073681648,7.07800536977103,0.563891323477896,0.481170981478352,-0.543548250581338,11.7171706103755,TRUE,"Post-stabilization",FALSE,FALSE,2.60872138444356,6.18995230797175,0.176584300044157,1.53711873145865,0.275273073681648,4.32965353437533,-47.8774416927693,48.0705766966231,0.0417009226532862,155.469429866512,0.000889896607559906,0.319766144620564,0.000889896607559906,0.0417009226532862,0.319766144620564,0.0658879641178559
2003,-2.13689889028637,2.25937753363072,11.518716629881,3.478467,66.5881110722,-1.08744972771564,1.92021801854372,4.32965353437533,0.275273073681648,7.07800536977103,11.165025870435,TRUE,"Post-stabilization",FALSE,FALSE,1.41702413739673,6.30858972057021,1.18153623654306,2.25937753363072,-1.08744972771564,0.783115902289091,-46.7373657135619,48.9967432471926,0.0318990493009578,155.463314901829,0.000692960112653242,0.324272839184105,0.000692960112653242,0.0318990493009578,0.324272839184105,0.0581443491409415
2004,3.25992194167151,3.66247320092233,11.2562792024042,3.413175,75.9200506765,-1.89487363401746,13.1154772618459,-2.13689889028637,-1.08744972771564,1.92021801854372,11.518716629881,TRUE,"Post-stabilization",FALSE,FALSE,1.45778466055293,1.90795555828761,1.53954603716196,3.66247320092233,-1.89487363401746,3.25992194167151,-66.6034030646236,70.265876265546,0.0691999133168098,155.210766330617,0.00334440616983743,0.474263762575357,0.00334440616983743,0.0691999133168098,0.474263762575357,0.127943722877391
2005,17.0952678011346,1.61630193862544,11.444512241325,3.29584166666667,80.6,-3.49813702811315,5.98178277124504,3.25992194167151,-1.89487363401746,13.1154772618459,11.2562792024042,TRUE,"Post-stabilization",FALSE,FALSE,1.24765739887632,1.64046364217708,0.961761846898434,1.61630193862544,-3.49813702811315,17.0952678011346,-39.8047730773352,41.4210750159606,0.0396755410726171,155.525231636622,0.000625989389950196,0.275242855248547,0.000625989389950196,0.0396755410726171,0.275242855248547,0.0552413073457121
2006,8.04516103950725,2.00225801248819,10.9166950883829,3.27403250265816,104.6,-0.66391664607337,26.064490211824,17.0952678011346,-3.49813702811315,5.98178277124504,11.444512241325,TRUE,"Post-stabilization",FALSE,FALSE,1.24788668195918,1.42211975549533,1.09936467638287,2.00225801248819,-0.66391664607337,8.04516103950725,-86.7236580250337,88.7259160375219,0.190467558734551,154.814729604443,0.0194039812707293,0.642150827520902,0.0194039812707293,0.190467558734551,0.642150827520902,0.308968684361708
2007,29.4038396048139,1.77998644680372,10.455030294689,3.12804457735247,110.9,-4.56143327534593,5.84853427254988,8.04516103950725,-0.66391664607337,26.064490211824,10.9166950883829,TRUE,"Post-stabilization",FALSE,FALSE,0.818235814995153,1.64714263926655,1.0224460524402,1.77998644680372,-4.54949384747441,29.4038396048139,-27.4218436628366,29.2018301096403,0.0529996934809485,155.604344597723,0.000427396165255658,0.195406359445654,0.000427396165255658,0.0529996934809485,0.195406359445654,0.0456220620341025
2008,22.7640711546424,5.78587598206755,10.3708617908307,2.92440833333333,97.7,-6.7315892632938,-12.6727335307584,29.4038396048139,-4.56143327534593,5.84853427254988,10.455030294689,TRUE,"Post-stabilization",FALSE,FALSE,1.77438933195693,2.35505359104688,1.91484339063765,5.78587598206755,-4.54949384747441,22.7640711546424,1.38240705617287,4.40346892589468,0.119767138012205,155.682732647341,2.54196607253167e-05,0.0305632708610964,2.54196607253167e-05,0.119767138012205,0.0305632708610964,0.0111205366982997
2009,4.57047933320314,2.936231535967,11.466355995307,3.01150833333333,95.2,2.93488796477581,-2.59216172514174,22.7640711546424,-6.7315892632938,-12.6727335307584,10.3708617908307,TRUE,"Post-stabilization",FALSE,FALSE,1.73270481949741,3.74370338461719,1.37022380265474,2.936231535967,2.93488796477581,4.57047933320314,-21.6034327252516,24.5396642612186,0.0332053663127323,155.629119995674,0.000181432217689826,0.162519390334056,0.000181432217689826,0.0332053663127323,0.162519390334056,0.0297199217461917
2010,21.0546552757542,1.52832059732901,10.5258359246036,2.825125,115.1,-6.38884492609901,18.9821373930517,4.57047933320314,2.93488796477581,-2.59216172514174,11.466355995307,TRUE,"Post-stabilization",FALSE,FALSE,1.7484128047156,4.13804046919561,0.927555286807507,1.53711873145865,-4.54949384747441,21.0546552757542,-68.5992901771945,70.1276107745235,0.118638925407989,155.186109942923,0.00636993382579519,0.486424894418487,0.00636993382579519,0.118638925407989,0.486424894418487,0.176602127976265
