"year","inflation_cpi","broad_money_growth","fx_depr",".fitted",".resid","cooks_d","leverage","std_resid","dffits"
1990,7481.66361124526,6384.91591214941,425.518360672484,7651.77622096084,-170.112609715581,163.849071995532,0.962039695153849,-5.68558746389011,-79.4345554063497
1989,3398.67901005332,1917.28170515126,302.989818568305,2658.64937888373,740.029631169592,3.84550096121873,0.349913088446009,5.97677740672945,23.2715274395995
1988,667.019328585961,620.951252281666,203.499709122763,1021.13766417907,-354.118335593104,0.81342918604253,0.336608610249292,-2.83117804934638,-2.24757265483396
1985,163.399505243688,156.546456269228,115.2367117213,391.165652882527,-227.766147638839,0.0825555738192875,0.139077966205857,-1.59849377100456,-0.656821722940287
1991,409.530166622023,230.59502238985,141.379885268107,511.602555200688,-102.072388578665,0.0311210064735996,0.216313764031089,-0.750828676819563,-0.392099415909271
1983,111.150635209157,103.345493852182,84.7898799937182,248.921588500933,-137.770953291776,0.0288225916027933,0.134214857868455,-0.964175923739154,-0.379251667850891
2006,2.00225801248819,8.04516103950725,-0.66391664607337,-86.7236580250337,88.7259160375219,0.0194039812707293,0.190467558734551,0.642150827520902,0.308968684361708
1993,48.5799864468885,71.7970649690245,46.7484866178126,150.243822315067,-101.663835868178,0.0169213988444392,0.142086525294358,-0.71474056456626,-0.288916625987708
1984,110.208519562543,127.219328088454,75.5505873561448,247.162923931947,-136.954404369404,0.0120792922553358,0.0662136010162084,-0.922902696472113,-0.245252450140166
1981,75.4332687576064,68.678476250196,37.9832887174073,153.211620430379,-77.7783516727727,0.00860319815618038,0.1276194894225,-0.542262336642313,-0.205398833118322
