"","inflation_cpi","broad_money_growth","fx_depr","tot_growth","gov_cons_gdp"
"inflation_cpi",1,0.990156522825643,0.890884877590987,-0.153857554549544,-0.433592490832137
"broad_money_growth",0.990156522825643,1,0.860848101877108,-0.120991982439416,-0.41876950192949
"fx_depr",0.890884877590987,0.860848101877108,1,-0.224312143700041,-0.500497216003249
"tot_growth",-0.153857554549544,-0.120991982439416,-0.224312143700041,1,-0.0614439098967683
"gov_cons_gdp",-0.433592490832137,-0.41876950192949,-0.500497216003249,-0.0614439098967683,1
